Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85281784,9/13/2022 16:11,I regards to my health I don't remember something like that ever happening or if it did it was so long ago I forgot about it. So unless you want me to make something up can't elaborate any further.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85280545,9/13/2022 15:45,"I felt lonely I've felt empty like I've never even had emotions I didn't know how to take it in, couldn't cry no matter how much I'd tried.",,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85269521,9/13/2022 13:00,A brain tumor diagnosis. Surgery to be done and the only thoughts allowed were positive ones. It was out of my hands and I just had to be confident that all was going to go well and it did.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85269337,9/13/2022 12:58,My daughter just had a baby girl and I am so happy about it,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85268628,9/13/2022 12:49,"It feels sad and lonely, though it might be helpful",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85268292,9/13/2022 12:44,A family member got killed for no reason the 5 teenagers robbed him and that was the saddest day of my life.,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85267355,9/13/2022 12:31,I felt so terrible like I sometimes don’t know what to do,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
85266504,9/13/2022 12:17,To witness the birth of my daughters was simply the most beautiful thing I have ever seen,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85266499,9/13/2022 12:17,When the doctor told me my wife couldn't get pregnant. I didn't want it to happen but i saw it coming. It was not bearable,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85266280,9/13/2022 12:14,"It's of a great concern to people, and it will help us to know how to live","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
