Response ID,Timestamp (mm/dd/yyyy),Question Number,Question,Emotions,,,,,,,
85297850,9/14/2022 0:43,2,Émotion joie amour. Grande affluence et affectueux,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85297687,9/14/2022 0:37,2,je monte dans le taxi et ensuite je vais écouter un concert de musique,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85297624,9/14/2022 0:35,2,LA TRISTESSE ET LA DEMOTIVATION SONT AU PREMIER RANGE LORSQUE L'ON PERD UNE PERSONNE QUE L'ON AIME. ON ESSAIE DE RECONFORTER LES PROCHES DE LA PERSONNE DEFUNTE,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85297418,9/14/2022 0:27,2,"l'annonce de la future naissance de mes 2 enfants, j'étais heureuse de fonder une famille.",,,,,,,,
85297411,9/14/2022 0:26,2,Retrouver le sens de l'ouïe sens que l'on a perdu depuis très longtemps.,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
85297377,9/14/2022 0:25,2,"J'étais seule chez moi, j'ai eu un malaise. J'ai appelé le 15 en espérant qu'ils décrochent vite et qu'ils viennent vite. J'étais en crise de panique c'était effrayant. Ils ont réussis à me calmer par téléphone le temps que leurs collègues arrivent. Les deux hommes étaient très gentil, très compétent. Ils ont fait leur travail super bien ! Ils m'ont emmené aux urgences et tout le long du trajet , qui a duré 30 minutes) celui qui était prés de moi , était très attentif. Il m'a beaucoup parlé ; des gars super que je n'oublierais pas !",,,,,,,,
85297369,9/14/2022 0:24,2,Le jour où j'ai ressenti le plus d'émotion positive c'est le jour de notre mariage avec mon mari c'était la concrétisation de notre projet de vie le jour où j'ai dit oui à la personne que j'aime le plus au monde d'être enfin une famille,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
85297332,9/14/2022 0:23,2,La possibilité de pouvoir refaire de la plongée sous marine après un infartus et cela sans d'importantes contraintes,,,,,,,,
85297277,9/14/2022 0:21,2,quand j'assiste a un concert quand je me baigne dans la mer,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85297233,9/14/2022 0:19,2,que je guérie afin de vivre mieux ma vie et partager des moment fort avec ma famille,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
85297130,9/14/2022 0:16,2,"c'est la chose la plus désagréable qu'elle soit, je me sens suffoqué, je ne pouvais pas respirer !",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85297090,9/14/2022 0:15,2,"Ma mère s'est coupé la main en préparant le repas, et de voir le sang couler m'a fait me sentir mal, j'étais eu bord de l'évanouissement",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85296828,9/14/2022 0:04,2,ce jour on vient de nous apprendre que notre vol pour la bretagne est annulé,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85296476,9/13/2022 23:48,2,"je n'ai pas d'idée précise de ce type de situation, mais je suis vite mal à l'aise","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85296436,9/13/2022 23:46,2,recevoir les résultats d'une analyse et avoir le soulagement que tout va bien,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85296322,9/13/2022 23:43,2,un groupe de filles joiant ensemblr de la msuique avec des cuivres,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85296200,9/13/2022 23:37,2,"ce sont des moments de peut intenses pendant lesquels on remet tout en question, par la suite la vie n'en a que plus de saveur","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85296107,9/13/2022 23:34,2,Mon sentiment actuellement et un peu de la résignation dû à l'état actuel de mon dos,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85295653,9/13/2022 23:14,2,J ai bien aimé les images et les différentes situations,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85295509,9/13/2022 23:06,2,"banale sans grand choc, son faible image peu évocative",,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
85294456,9/13/2022 22:12,2,en terme de maladie je n'ai aucun souvenir de bonne nouvelle ou de bon moment que je peux visualiser,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85292837,9/13/2022 21:18,2,Je ne se sens pas bien à ce momment la. Parce que il y a de problème.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85283955,9/13/2022 16:57,2,L’interminable attente après un acte médical ou un diagnostic négatif est susceptible d’être posé et que finalement les résultats sont plutôt encourageants,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85279692,9/13/2022 15:30,2,"Un homme à été a l'écoute, et un groupe de fille pratiqué de la musique dans la salle d'école","Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85279304,9/13/2022 15:24,2,J'ai trouver que mon état s'améliorer mais qu'il ne fallait pas perdre espoir et tenir bon pour guérir de c'est douleur permanente.,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85278186,9/13/2022 15:03,2,"Lorsque mon père est décédé. Il était mourrant, et un matin le téléphone a sonné. Je me doutais que c' était l' annonce de sa mort. Je me suis senti impuissant et désespéré, mais aussi très fataliste.",,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85275736,9/13/2022 14:24,2,J’ai ressenti un sentiment neutre personnellement en voyant la vidéo présentée,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85275648,9/13/2022 14:23,2,J'ai été anxieux de voir le personnage j'ai eu de la pitié,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85275340,9/13/2022 14:18,2,J’ai été très triste et me suis sentie seule puis j’ai espérer que ça se résolve comme toute maladie,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85274606,9/13/2022 14:07,2,de l'angoisse au depart puis un sentiment de calme et de soufle et un sentiment d'appaisement et de relaxation,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85273500,9/13/2022 13:49,2,"Je lai bien pris puisque j'étais au courant du mal être, j'apprends à vivre avec",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85272514,9/13/2022 13:31,2,L'ebdr créé des petites et des cicatrices. Pas facile d'être dévisage scruté l'été quand on se promène en short. Le regard des autres ...,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85270677,9/13/2022 13:17,2,quand je fais mes analyses de sang et que tout est bon je suis contente,,,,,,,,
85270071,9/13/2022 13:07,2,Jouer et écouter de la musique fait par des élèves,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
85269925,9/13/2022 13:04,2,D être grand pere c est une joie immense D être content de vivre cet instant,,,,,,,,
85269645,9/13/2022 13:01,2,"quand j'ai emmenagé dans ma maison, anxieuse et joyeuse impatiente",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85269512,9/13/2022 12:59,2,Incompréhensible interrogation neutre doute agacement,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85269353,9/13/2022 12:58,2,Je ne suis pas attiré plus que ca Des personnes qui jouent de la musique,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85269118,9/13/2022 12:54,2,moment de soulagement intense suite à une période de stress important face à un choix crucial,,,,,,,,
85269004,9/13/2022 12:52,2,"rine a resentir je trouve que les situations sont hilares, font partie de la vie des toutes les jours sans faire la diference",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85268906,9/13/2022 12:51,2,Je ne pourrais rien dire car je n'ai a ucunes idées de la situation,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,,,,
85268888,9/13/2022 12:50,2,"J’ai été d’abord sur[rise, sidérée, puis très vite je me suis reprise pour soutenir mes proches pendant l’épreuve. Enfin quand c’était terminé ( cela s’est bien terminé), j’ai craqué un peu, relâché la pression, puis je me suis réjouie que ce soit derrière nous.",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85268677,9/13/2022 12:49,2,MAIS AUCUNE EMOTIN CAR HYPER PLAT COMME VIDEO DONC AUCUN DETAIL A DONNER DE CROUSTILLANT DESOLEE,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85268542,9/13/2022 12:47,2,"je ne me souviens pas, rtzt'ty'y'-yé't-é'dhdhethncgdjdetjhe","Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
85268299,9/13/2022 12:44,2,la mort de ma mère que j'ai accompagné jusqu'à son dernier souffle,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85268143,9/13/2022 12:42,2,J'ai ressenti de l'étonnement devant ces incohérences,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85268073,9/13/2022 12:41,2,"j'ai espéré qu'une amie guérisse d'une grave maladie, j'ai eu peur pour elle, et finalement elle est guérie, j'ai pleuré en attendant cette nouvelle merveilleuse, sa guérison a été quelque que j'ai espéré et qui s'est réalisé après maintes prières pour elle et sa famille.",,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85267820,9/13/2022 12:38,2,Je suis troublée mais en même temps dans l’incompréhension,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85267568,9/13/2022 12:35,2,DE L ETONNEMENT ET DE L ENVIE DE DECOUVRIR UN PEU PLUS,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
85267297,9/13/2022 12:30,2,bien être en pensant au weekend et au vacances à venir,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
85267232,9/13/2022 12:29,2,Je raconterai en détail la pub que j'ai vue et la marque que l'on voit,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85267164,9/13/2022 12:28,2,j'ai vu le morceau du film mais je ne sais pas comment l'expliquer,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
