Response ID,Timestamp (mm/dd/yyyy),Question Number,Question,Emotions,,,,,,,
86400941,9/16/2022 13:24,2,Mein Ex Partner hatte mich blutig geschlagen mir finger und nase gebrochen ich dachte bei einer trennung wurde er mich umbringen,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
86399874,9/16/2022 13:22,2,Ich hatte einmal sehr schlimme Schmerzen im Brustbereich und konnte ein paar Tage mich nicht bewegen und richtig atmen ohne Schmerzen. Dabei hat sich meine Mutter sehr stark gekümmert und nachts in meiner Nähe geschlafen,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
86399859,9/16/2022 13:22,2,Eine gruppe spielt lider zusammen dabei ist alles ruhig,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
86399640,9/16/2022 13:22,2,Langeweile verwundert und gleichzeitig verwirrt es ist einfach ein Ton zu hören und es enttäuscht mich,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
86398349,9/16/2022 13:20,2,Ich gehe alle 3 Tage joggen und ich ernähre mich realrov gesund,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
86396877,9/16/2022 13:17,2,Keine Emotionen oder ähnliches empfunden und damit auch kein Interesse,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
86395082,9/16/2022 13:14,2,nichts hist alles beim alten hatt sich nichts geändert,,,"Fear (e.g., Terror, Scared, or Panic)",,,"Desire (e.g., Wanting, Craving, or Longing)",,
86391656,9/16/2022 13:07,2,als juliane gestorben ist war ich sehr traurig ich fühlte mich lehr und verbraucht,,,,,"Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
86387423,9/16/2022 13:01,2,"Ich kenne das Gefühl wenn eine bestimmte Behandlung nicht möglich ist und man fühlt sich danach einfach schlecht, traurig und etwas alleine gelassen.","Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
86385359,9/16/2022 12:58,2,Geht so es war sehr verwirrend finde ich es meiner Meinung nach,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
86380827,9/16/2022 12:50,2,Keine Ahnung aber ich Wüsste nichts was mir dazu einfällt,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
86379225,9/16/2022 12:48,2,war sehr bedrückt als ich erfahren hatte das mein vater ins kranken hauss musste,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85660000,9/15/2022 16:39,2,zum glück hatte ich bis jetzt noch nie einen befund der so schrecklich war das ich angst hatte. waren höchstens situationen wo ich gedacht habe wie ich es wieder loswerde,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85658183,9/15/2022 16:36,2,"Vor ein paar Wochen habe ich eine 1 in meiner Matheprüfung bekommen, was ein sehr plötzliches intensives Glücksgefühl in meinem inneren ausgelöst hat. Ich habe mich sehr stolz gefühlt und meine Zukunft erschien mir gleich in einem besseren Licht, ich wurde viel zuversichtlicher & optimistischer",,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85656101,9/15/2022 16:32,2,Ich muß erst einmal selbst mit der Situation fertig werden ehe ich mich mit anderen darüber unterhalten kann.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
