Response ID,Timestamp (mm/dd/yyyy),Question Number,Question,Emotions,,,,,,,
85284018,9/13/2022 16:58,2,姉さんが不治の病だと分かった時、何も出来なくて悲しかった。抗がん剤治療の副作用で苦しんでいるのにみまもることしか出来なかった,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85283882,9/13/2022 16:54,2,少し時間をとって、思い浮かべた状況を思い出し、その時に感じた感情を再体験しようとしたが、特になにもなかったです,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85283529,9/13/2022 16:46,2,子供の頃に肺炎にかかってとても辛かった。 病院に行こうとか思って外だ待っていたら気絶した。 病院に着いて、レントゲンを撮るときにも気絶した。,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85283337,9/13/2022 16:41,2,ない----------------------------------------------------------------------------------------------------------------------------------------------------------------,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85283335,9/13/2022 16:41,2,家族での山登りが心に残る。辛いことにも立ち向かい、成し遂げることの爽快感、達成感が得られた良い経験だった。,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85282997,9/13/2022 16:34,2,特に意識の中に感じたものはないので答えははっきりと出せないしいて言えば若い子がいたということだけだ50文字書いてるけど,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85282708,9/13/2022 16:27,2,誰かの助けも呼ぶことができず、このまま死んでしまうのではないかという最悪の事態がよぎってしまいネガティブな思考に陥る,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85282236,9/13/2022 16:20,2,目標に向かって試行錯誤している　この状態が続いているが少しずつ進んでいる感じはある やりたいことを実現できるよう努力していくことが大切,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85281653,9/13/2022 16:08,2,質問の意味がわからない、もう少しわかりやすい問いにしてほしい。日本語の表現をもう少しわかるようにしてもらわないと応えることができない,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85281635,9/13/2022 16:08,2,そのような体験をあまりした記憶がないために、特に思い浮かびません。なにがききたいのか、質問の意味がよくわかりません。,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
