Response ID,Timestamp (mm/dd/yyyy),Question Number,Question,Emotions,,,,,,,
85294591,9/13/2022 22:19,2,Estado de tranquilidad y sosiego sin preocupaciones,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85293813,9/13/2022 21:40,2,"Vuelvo a contestar lo mismo que antes. No sé lo que intentan hacer. En fin, es su encuesta",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85292841,9/13/2022 21:18,2,Me da mucho asco el pus o los granos tambien el desorden o el poco aseo,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85287344,9/13/2022 18:20,2,un espectaculo genial en la calle de una ciudad en la noche mas oscura del año,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85284498,9/13/2022 17:11,2,"Al irme a sentar en un quirófano para someterme a una prueba y estando en plena pandemia, descubro que la sabanita sobre la que me invitan a sentarme está manchada de escrementos. Me niego a sentarme hasta que no la cambien por otra limpia y se produce una situación muy tensa, que marca el devenir de la prueba. Esta se realiza sin anestesia y la experiencia es terrorífica.","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85283707,9/13/2022 16:50,2,No no e tenido algo asi ultimamente solo le tengo asco a los vomitos,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85282800,9/13/2022 16:29,2,No se.................................................,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85282695,9/13/2022 16:27,2,me sentí a guto viéndolo parece muy natural y la música es muy animada,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85281045,9/13/2022 15:54,2,tenia mucha fiebre dolor de cabeza y me dolian las articulaciones,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85278309,9/13/2022 15:06,2,Ya los he explicado.....no entiendo nada del video....nada tiene sentido,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85277523,9/13/2022 14:52,2,El suicidio de mi madre que sufría una depression y que el hospital había prescrito 3 botes de pastillas para su depression y una bote y se lo toma todas las pastillas yo sintió desesperacion.,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85277019,9/13/2022 14:44,2,bueno son momentos intensos de dolor y que necesitas el apoyo de un amigo,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
