Verbatim,country,Disease,Test,Diagnosed,Treatment,Emotional words,Anger ,Rage ,Mad ,Irritated,Disgust,Nausea ,Sickened ,Revulsion ,Fear ,Terror ,Scared ,Panic ,Anxiety ,Dread ,Nervous ,Worry ,Sad ,Grief ,Lonely ,Empty ,Desire ,Wanting ,Craving ,Longing ,Relaxation ,Easygoing ,Chilled out ,Calm ,Happy ,Satisfaction ,Enjoyment ,Liking ,Sentiment,Optimism_effect,Negativity_bias,Projection_bias,Pessimism_bias,Survivorship_bias,Hindsight_bias,Framing_effect,Distinction_bias,Decoy_effect,Imaginability_bias,Gamblers_fallacy,Time_discounting,Status_quo_bias,Omission_bias,Regret_avoidance,Sunk_cost_fallacy,Base_rate_fallacy,Fundamental_attribution_error,Confirmation_bias,Authority_bias,False_consensus_effect,Dunning_Kruger_effect,Hueristic,Attitude,Norm,Control,Intention,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,Intention_Type,intent,intent valence,Verbatim Index,belief,start,end,belief type,belief cluster
"Like just walking. I can't go far distances because I can't breathe. I'm on oxygen, as you can see, because of the COPD, so I have a 50 foot width, that I'm in my home width. When I go out, I have to either carry a tank or whatever size, or wheel a tank with me, depending how much oxygen I'll need, how long I'll be gone, so it's limiting. I can't do far distances. I can't go places with my kids like I used to, even the museum, if I want to go there and be with them for the whole day, I need my wheelchair. Then someone has to push me and that's not fair to other people. And even talking, you'll probably notice I have to stop and catch my breath because I run out of oxygen to keep talking.",us,copd,No,No,Yes,"limiting, [not] fair",0.000615911,0.400187104,0.742692822,0.226456082,0.075708912,0.774027524,0.453466269,0.277937368,0.91163791,0.572592338,0.64868138,0.375639883,0.786297005,0.025704931,0.390498804,0.703397947,0.932670454,0.596095647,0.422038995,0.321155052,0.271170506,0.543865465,0.571737751,0.749564591,0.712535403,0.56602954,0.70530324,0.336428528,0.048874442,0.935285031,0.767751077,0.357235817,0.29176302,0.739523292,0.708820641,0.309941053,0.537256181,0.709640026,0.725500166,0.624078095,0.395336956,0.426941156,0.454553485,0.612199008,0.462691993,0.673659861,0.535833657,0.647132456,0.653313935,0.454553485,0.395795316,0.1379015,0.4957605,0.131906569,0.507026851,Representativeness,0.309325486,0.401797146,0.559486568,-0.054768294,0.027678803,3.50E-05,0.99864012,0.998632729,0.98768425,to Treat,intent2,0.360437181,0,"or wheel a tank with me, depending how much oxygen I'll need, how long I'll be gone, so it's limiting. I can't do far distances. I can't go places with my kids like I used to, even the museum, if I want to go",238,446,control,control2
"Well symptoms are daily, they're like your chest gets tight and you just can't get the air you need into your lungs to breathe and to carry on. Sleeping is, I have to wear a bag, because I don't read properly. And I don't know the struck of where I was going with that.",us,copd,No,No,No,"sleeping, [not] properly, [not] know",0.786414474,0.119520626,0.198979629,0.4601653,0.398520206,0.807868221,0.031336966,0.094360455,0.849923588,0.984300292,0.861657293,0.191626262,0.129157667,0.639083531,0.97882471,0.484206166,0.9245177,0.492415236,0.335145208,0.926808314,0.513873527,0.414114107,0.675517465,0.423759844,0.325671392,0.013110726,0.936407047,0.076484616,0.677482314,0.986475699,0.564499575,0.87018484,0.470000305,0.745789528,0.701528192,0.328684568,0.539140046,0.667449653,0.66241914,0.570479572,0.372559041,0.372356355,0.465659261,0.625097811,0.436380327,0.649979115,0.47108084,0.597892284,0.620580673,0.465659261,0.348875046,0.117759854,0.51578182,0.076430157,0.4943223,Representativeness,0.385840923,0.558682799,0.156996861,-0.169835657,0.999579608,7.38E-06,0.999997973,1,0.999887943,to Treat,intent2,0.360437181,0,I have to either carry,190,212,attitude,attitude0
"Yes. When you're laying down, it feels like my chest is just being smooshed, like it's tight. I just can't expand it to sleep. So, you know, you're restless all night, I toss and turn. During the day, just walking sometimes to the bathroom and back, I got to catch my breath, I got to take a few minutes to recover from it and it's a sad thing. I can't do much activity and exercise like I use to. And I put on a lot of weight because of the less activity, that's still my fault, but it's part, that is part of the reason, even with rescue inhalers and stuff like that, it doesn't always open my lungs up enough to feel like I can breathe good again.",us,copd,No,No,No,"restless, sad, fault, rescue, [not] open, good",0.11855571,0.640686468,0.151864373,0.140495559,0.749897439,0.721234808,0.217115739,0.127637765,0.763814963,0.779472205,0.462837745,0.139749325,0.27162226,0.483115737,0.577837865,0.331622648,0.916338035,0.714063041,0.401608809,0.534742627,0.693066688,0.005870569,0.806760553,0.419199669,0.29684709,0.63622535,0.91864559,0.832107356,0.793175557,0.628474098,0.258515856,0.492680442,0.099782854,0.738316476,0.730206311,0.3400594,0.52432704,0.690915287,0.66934818,0.604777038,0.386624604,0.394987911,0.4765957,0.625216424,0.452030659,0.66723603,0.46288982,0.624188364,0.612098038,0.4765957,0.339270473,0.146560416,0.547615111,0.101903677,0.522873461,Representativeness,0.256151587,0.657550097,0.5461362,0.667257607,0.236118034,0.964709699,0.009956765,0.997695506,0.999997497,to Prescribe,intent5,0.140316742,1,"need into your lungs to breathe and to carry on. Sleeping is, I have to wear a bag, because I don't read properly. And I don't know the struck of where I was going with that.",95,269,norm,norm0
"I have, just before the pandemic actually. I had been in the hospital because I had an attack and it led to lung failure and I spent a week in the hospital and then I had to go to rehab. Rehab to kind of build me back up again to just doing daily functions.",us,copd,No,No,No,"attack, failure",0.037799637,0.236736784,0.737836573,0.415942158,0.041855641,0.404001394,0.325557765,0.571942716,0.52778722,0.617547999,0.306653917,0.423231665,0.836013948,0.057672138,0.296953084,0.103258375,0.908771585,0.135813868,0.986387155,0.188363792,0.329817708,0.149252565,0.339526106,0.811392903,0.779796931,0.531017292,0.330174005,0.250952607,0.013737984,0.336705464,0.921270415,0.104932645,0.382268029,0.704953253,0.658922315,0.303787678,0.620473087,0.637772858,0.673863113,0.548692644,0.401085585,0.393593609,0.399545133,0.560818315,0.456587344,0.69860822,0.517181635,0.587315798,0.601535559,0.399545133,0.404315442,0.195071548,0.492908627,0.201105848,0.477824032,Representativeness,0.198973,0.52367723,0.136442721,0.780102432,0.999805689,7.24E-06,0.005098984,0.950711846,0.031599306,to Prescribe,intent5,0.140316742,1,Sleeping,144,152,attitude,attitude2
"Being in the hospitals, it's no fun. It's not a place you want to be. There, they do a lot of tests and poking and prodding and blood draws for the saturation, the oxygen saturation levels in your body. And it's just, there's no rest there. And in the meantime, at the same time, your feeling horrible, because you just can't breathe, you're not getting oxygen. Your chest hurts, but it can also make like your face numb and tingling and your arms and feet, legs numb and tingling from the lack of oxygen and you're just miserable and you can't get comfortable.",us,copd,Yes,No,Yes,"[not] fun, horrible, hurts, numb, tingling, numb, tingling, lack, miserable, [not] comfortable",0.63708534,0.8286551,0.876727234,0.51353479,0.734141184,0.384554037,0.608480008,0.151096802,0.028431656,0.352947908,0.366668079,0.471040638,0.755369979,0.359168252,0.815163729,0.144254277,0.091599463,0.926537062,0.946506909,0.099561709,0.586275081,0.217026164,0.201502566,0.885588442,0.514732079,0.387816182,0.905639753,0.848221509,0.531904213,0.635212992,0.473857852,0.114123037,0.427554102,0.76178056,0.771328568,0.370239586,0.515227914,0.726115048,0.689193368,0.643632114,0.391457766,0.428655386,0.5124951,0.674218833,0.466128647,0.680024445,0.445375592,0.656387925,0.642985225,0.5124951,0.322884232,0.1381502,0.602754414,0.072269753,0.554662645,Representativeness,0.410464823,-0.027707605,0.172662586,-0.900479913,0.875799835,0.870519042,0.987002313,1.55E-08,0.993578911,to Prescribe,intent0,0.698955725,2,"and turn. During the day, just walking sometimes to the bathroom and back, I got to catch my",175,267,norm,norm1
"There can be, some of them make you tired and lethargic. Some of them, the steroids make you all like wound up kind of, but they also make you puffy and gain weight. Some of them, you can just get a rash from, and then the inhaled ones, you can get problems with your mouth and your teeth if you don't rinse your mouth out good enough.",us,copd,No,No,Yes,"tired, lethargic, wound, rash, problems",0.550508984,0.002846511,0.741847871,0.958973303,0.060590286,0.999702826,0.903794587,0.77842221,0.202947047,0.504936036,0.852758507,0.146426415,0.654314011,0.611131168,0.490039074,0.416164805,0.565594388,0.013544171,0.051581374,0.612752956,0.682895155,0.109288125,0.647351565,0.329728048,0.446436221,0.872258252,0.812231275,0.42188483,0.270687102,0.640824683,0.147415689,0.275767249,0.413476426,0.773369014,0.753152072,0.359200001,0.521387279,0.71547842,0.693688273,0.630455315,0.389561325,0.406714737,0.513777077,0.674046159,0.460883588,0.665926754,0.462763458,0.650107503,0.651866853,0.513777077,0.340053082,0.125234455,0.575309873,0.06310986,0.548208892,Representativeness,0.042458978,0.243070647,0.348417938,0.908865154,0.999991417,2.30E-05,0.999637246,0.386142939,0.999999642,to Treat,intent0,0.698955725,2,"night, I toss and turn. During the day, just walking sometimes to the bathroom and back, I got to catch my breath, I got to take a few minutes to recover from it and it's a sad thing. I can't do much",161,360,attitude,attitude2
"Yeah. I try not to push too hard. I mean, you certainly have to do what you have to do, but when I feel the wheezing and the tightening starting, I stop because I don't want it to go into a full blown attack because I don't want to go back to the emergency room and spend all those hours or days there recovering and getting better.",us,copd,No,No,No,"[not] hard, [not] want, attack, [not] want, emergency, getting",0.364956009,0.51268005,0.715399134,0.325237906,0.755892519,0.234728149,0.643656957,0.242241563,0.029129752,0.741265342,0.486161773,0.232314062,0.123495868,0.762812325,0.621685497,0.009097655,0.352431467,0.498622705,0.089546533,0.628850543,0.79677358,0.827527252,0.852753331,0.734697208,0.199917376,0.418931841,0.323844274,0.703134783,0.558826795,0.22500649,0.615928215,0.511467248,0.972020952,0.701045394,0.62151891,0.281247914,0.654467225,0.611562133,0.662867665,0.534101605,0.427877933,0.362135381,0.372282565,0.531612456,0.462934852,0.735762477,0.542272687,0.582107663,0.580426693,0.372282565,0.41776365,0.210861981,0.449042022,0.236453071,0.445332348,Social proof,0.08643923,0.407610148,0.315968156,0.913049936,0.077498391,0.898995221,0.405620247,0.999994278,0.121258125,to Prescribe,intent0,0.698955725,2,"the day, just walking sometimes to the bathroom and back, I got to catch my breath, I got to take a",192,291,attitude,attitude1
"Well, COPD is, it's kind of tough because it's not something you can see, it's not obvious to other people what's wrong with you and it's difficult for people to understand unless they have it. You might look totally healthy and it can be anybody that can be affected with it, just because I look like this, I could be 90 pounds in C O P D, it doesn't matter.",us,copd,No,No,No,"tough, wrong, difficult, healthy, [not] matter",0.299008669,0.057657735,0.493484407,0.61061351,0.848736099,0.61457975,0.970229595,0.25196735,0.82502506,0.069838778,0.865345358,0.596532131,0.018664112,0.293730634,0.080770993,0.506500836,0.809910361,0.762106381,0.821240098,0.649333517,0.167962821,0.622247326,0.596167424,0.698199754,0.813916546,0.618026092,0.722987331,0.974292905,0.408258661,0.089888507,0.788234833,0.343971211,0.472579024,0.676682115,0.722758949,0.357928872,0.574396014,0.663766444,0.592874467,0.570252955,0.39437899,0.411067367,0.440107465,0.595460653,0.457426757,0.728911161,0.393081427,0.589902401,0.53089267,0.440107465,0.266698092,0.233301029,0.611582935,0.151676521,0.514767289,Social proof,0.165806606,0.308718979,0.328691661,0.668618619,0.999724448,0.999967813,0.011724953,0.32544601,0.146705493,to Prescribe,intent5,0.488766125,3,go to,174,179,norm,norm1
"And you can be young, old, there's no age, discrimination either. And it's frustrating because a lot of times I get left behind because I just can't do it. I can't what we went, my family was visiting and we went to Niagara falls. I couldn't go because there's no way I could walk all the walking there is there. So it's kind of a lonely disease as well.",us,copd,No,No,No,"[not] discrimination, frustrating, left, no, lonely, disease",0.575660714,0.580224976,0.986297501,0.496604126,0.67024256,0.402491086,0.765577449,0.959620745,0.889209397,0.275018364,0.579485047,0.8948385,0.026402138,0.525955441,0.883438717,0.960794388,0.726264383,0.599044238,0.755664686,0.10847808,0.800993173,0.737859049,0.345420887,0.803553841,0.695214713,0.007665981,0.125349266,0.344820725,0.876265129,0.69344048,0.453578666,0.121178148,0.763280503,0.714143157,0.704846442,0.328549236,0.593758225,0.663751125,0.661449552,0.580358446,0.406388909,0.398747653,0.435787201,0.593743503,0.46438095,0.715713859,0.479721636,0.614699602,0.594920933,0.435787201,0.361910611,0.194443569,0.540637493,0.170513287,0.503886998,Representativeness,0.39997524,0.277246684,0.554713726,-0.723191679,0.999984384,0.999997973,1.42E-06,0.361241221,2.49E-10,to Prescribe,intent5,0.488766125,3,I,0,1,attitude,attitude2
"I have several times, when you get the chest pain and that, and they, you go to the emergency room, they usually give you breathing treatments and they check out everything out at the same time, but they get you back on your feet so you can go back home.",us,copd,No,No,Yes,"pain, emergency",0.303139477,0.111296913,0.533832021,0.558164386,0.001894987,0.45179519,0.167559108,0.325935367,0.043604038,0.041049707,0.904744839,0.664525357,0.297262963,0.060588426,0.788939799,0.977806742,0.569419365,0.535602915,0.406250355,0.518270125,0.027965966,0.508843773,0.195279468,0.836792029,0.86978746,0.645256859,0.814539072,0.350996031,0.885729969,0.004085105,0.540627152,0.610968545,0.015164151,0.77956146,0.774966836,0.374081403,0.501785219,0.723293304,0.686897099,0.633941829,0.37546739,0.413209319,0.528065741,0.689058483,0.457683504,0.661488652,0.429580927,0.656804025,0.657310843,0.528065741,0.31076473,0.106543526,0.597343266,0.026173884,0.556470156,Representativeness,0.167873263,0.050217174,0.209497795,0.315528154,0.999997616,3.71E-08,1,1,0.966005385,to Treat,intent5,0.488766125,3,had an attack and it led to lung failure,80,120,control,control0
